Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
44,P!nk,Just Give Me a Reason,2012-09-17,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
45,Harry Styles,Sign of the Times,2017-04-07,0.518,0.575,5,-4.616,1,0.0302,0.0259,0,0.109,0.209,120.019,340707,4
46,Ed Sheeran,Photograph,2014-06-20,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
47,The Fray,Never Say Never,2009-02-02,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,256613,4
48,Broken Bells,Leave It Alone,2014-01-31,0.499,0.444,1,-8.749,1,0.026,0.641,0.00348,0.122,0.484,141.987,330853,4
49,José González,Heartbeats,2003,0.552,0.15,3,-16.746,1,0.0347,0.974,0.731,0.0698,0.316,87.485,160240,4
50,Chris Medina,What Are Words,2011-01-01,0.596,0.252,0,-7.105,1,0.032,0.814,0,0.0894,0.38,123.848,187440,4
51,Lera Lynn,The Only Thing Worth Fighting For - From The HBO Series True Detective,2015-06-16,0.541,0.18,9,-12.667,0,0.0353,0.98,0.00101,0.11,0.116,112.741,196613,4
52,Hozier,Take Me to Church,2014-10-07,0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.07,241693,4
53,KALEO,I Can't Go on Without You,2015-08-05,0.368,0.267,8,-9.395,0,0.0428,0.655,2.24e-05,0.0834,0.194,91.88,377000,4
54,Sturgill Simpson,Sing Along,2019-09-27,0.489,0.957,7,-2.812,1,0.056,0.0115,0.000405,0.173,0.53,124.026,174568,4
55,Tyler Childers,House Fire,2019-08-02,0.519,0.707,5,-8.424,1,0.0272,0.241,0.102,0.267,0.545,93.348,232973,4
56,Damien Rice,9 Crimes,2006-11-07,0.329,0.167,0,-13.103,1,0.0296,0.913,9.56e-05,0.0921,0.0995,74.174,219227,4
57,Florence + The Machine,Jenny of Oldstones (Game of Thrones),2019-04-22,0.27,0.195,1,-10.653,0,0.0797,0.931,9.73e-06,0.0949,0.171,46.489,188639,4
58,The Deep Dark Woods,The Place I Left Behind,2011-01-01,0.49,0.463,9,-8.455,1,0.0326,0.159,0.0771,0.117,0.409,125.989,244840,4
